"ensemble" "local_corr_tmin" "local_corr_tmax" "extent_space" "extent_time" "irrep_col" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "boot_r" "pion_decay_constant_val" "pion_decay_constant_boot"
"1899" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 108 0.0704676151511088 0.0704754709848076
"1900" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 109 0.0704676151511088 0.0704681435019326
"1901" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 110 0.0704676151511088 0.07047149248979
"1902" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 111 0.0704676151511088 0.0704792631233638
"1903" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 112 0.0704676151511088 0.0704606441253478
"1904" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 113 0.0704676151511088 0.0704528872291688
"1905" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 114 0.0704676151511088 0.0704605371323598
"1906" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 115 0.0704676151511088 0.0704568724849451
"1907" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 116 0.0704676151511088 0.0704665556817814
"1908" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 117 0.0704676151511088 0.0704746645582168
"1909" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 118 0.0704676151511088 0.0704653315138532
"1910" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 119 0.0704676151511088 0.0704474032933935
"1911" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 120 0.0704676151511088 0.0704598999945967
"1912" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 121 0.0704676151511088 0.070468054116572
"1913" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 122 0.0704676151511088 0.0704548936514634
"1914" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 123 0.0704676151511088 0.0704814569828694
"1915" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 124 0.0704676151511088 0.0704642644835772
"1916" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 125 0.0704676151511088 0.0704707486891875
"1917" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 126 0.0704676151511088 0.0704883410103588
"1918" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 127 0.0704676151511088 0.0704725064127444
"1919" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 128 0.0704676151511088 0.0704878712652117
"1920" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 129 0.0704676151511088 0.0704563245923732
"1921" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 130 0.0704676151511088 0.0704774774361718
"1922" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 131 0.0704676151511088 0.0704632208430934
"1923" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 132 0.0704676151511088 0.0704839319454148
